,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,asnm,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,accepted,gender
1,<0DM,6,Critical_acct_other_credits_existing,radio/television,1169,Unknown_or_no_savings_acct,>7yrs,4,male_single,None,4,real_estate,35,193,none,own,2,skilled_employee/official,1,yes,yes,0,male
2,0_to_200DM,48,Existing_credits_paid_till_now,radio/television,5951,<100DM,1_to_4yrs,2,female_divorced/separated/married,None,2,real_estate,22,424,none,own,1,skilled_employee/official,1,none,yes,1,female
3,None,12,Critical_acct_other_credits_existing,education,2096,<100DM,4_to_7yrs,2,male_single,None,3,real_estate,49,73,none,own,1,unskilled_resident,2,none,yes,0,male
4,<0DM,42,Existing_credits_paid_till_now,furniture/equipment,7882,<100DM,4_to_7yrs,2,male_single,guarantor,4,building_society_savings_agreement/life_insurance,45,33,none,for_free,1,skilled_employee/official,2,none,yes,0,male
5,<0DM,24,Delay_in_past,new_car,4870,<100DM,1_to_4yrs,3,male_single,None,4,unknown/no_property,53,145,none,for_free,2,skilled_employee/official,2,none,yes,1,male
6,None,36,Existing_credits_paid_till_now,education,9055,Unknown_or_no_savings_acct,1_to_4yrs,2,male_single,None,4,unknown/no_property,35,73,none,for_free,1,unskilled_resident,2,yes,yes,0,male
7,None,24,Existing_credits_paid_till_now,furniture/equipment,2835,500_to_1000DM,>7yrs,3,male_single,None,4,building_society_savings_agreement/life_insurance,53,145,none,own,1,skilled_employee/official,1,none,yes,0,male
8,0_to_200DM,36,Existing_credits_paid_till_now,used_car,6948,<100DM,1_to_4yrs,2,male_single,None,2,car_or_other_nonsavings,35,73,none,rent,1,management_self-employed_highly_qualified/officer,1,yes,yes,0,male
9,None,12,Existing_credits_paid_till_now,radio/television,3059,>1000DM,4_to_7yrs,2,male_divorced/separated,None,4,real_estate,61,385,none,own,1,unskilled_resident,1,none,yes,0,male
10,0_to_200DM,30,Critical_acct_other_credits_existing,new_car,5234,<100DM,unemployed,4,male_married/widowed,None,2,car_or_other_nonsavings,28,220,none,own,2,management_self-employed_highly_qualified/officer,1,none,yes,1,male
11,0_to_200DM,12,Existing_credits_paid_till_now,new_car,NA,<100DM,<1yr,3,female_divorced/separated/married,None,1,car_or_other_nonsavings,25,313,none,rent,1,skilled_employee/official,1,none,yes,1,female
12,<0DM,48,Existing_credits_paid_till_now,business,4308,<100DM,<1yr,3,female_divorced/separated/married,None,4,building_society_savings_agreement/life_insurance,24,348,none,rent,1,skilled_employee/official,1,none,yes,1,female
13,0_to_200DM,12,Existing_credits_paid_till_now,radio/television,1567,<100DM,1_to_4yrs,1,female_divorced/separated/married,None,1,car_or_other_nonsavings,22,424,none,own,1,skilled_employee/official,1,yes,yes,0,female
14,<0DM,24,Critical_acct_other_credits_existing,new_car,1199,<100DM,>7yrs,4,male_single,None,4,car_or_other_nonsavings,60,348,none,own,2,unskilled_resident,1,none,yes,1,male
